"filename", "language", "C#", "XML", "JSON", "Properties", "Markdown", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Lenovo\Local Game Development\saving-and-loading\SavingAndLoading.csproj", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scenes\Objects\Level Transitions\LevelEntrance.cs", "C#", 7, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Actors\Actor.cs", "C#", 58, 0, 0, 0, 0, 0, 5, 34, 97
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Audio\AudioManager.cs", "C#", 97, 0, 0, 0, 0, 0, 5, 28, 130
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Bus\SignalBus.cs", "C#", 0, 0, 0, 0, 0, 0, 2, 2, 4
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Environment\EnvironmentManager.cs", "C#", 14, 0, 0, 0, 0, 0, 10, 19, 43
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\Game.cs", "C#", 73, 0, 0, 0, 0, 0, 5, 33, 111
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\Level\Level.cs", "C#", 25, 0, 0, 0, 0, 0, 1, 10, 36
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\Level\Root.cs", "C#", 119, 0, 0, 0, 0, 0, 19, 51, 189
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\ObjectSpawner.cs", "C#", 17, 0, 0, 0, 0, 0, 6, 12, 35
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\Saving\SaveableNode.cs", "C#", 16, 0, 0, 0, 0, 0, 1, 6, 23
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\Saving\SavedData\SavedData.cs", "C#", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\Saving\SavedData\SavedInteractableData.cs", "C#", 6, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\Saving\SavedGame.cs", "C#", 23, 0, 0, 0, 0, 0, 3, 10, 36
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\Saving\SaverLoader.cs", "C#", 177, 0, 0, 0, 0, 0, 32, 64, 273
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Interaction\Interactable.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 6, 20
