"filename", "language", "C#", "XML", "JSON", "Properties", "Markdown", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\Lenovo\Local Game Development\saving-and-loading\SavingAndLoading.csproj", "XML", 0, -7, 0, 0, 0, 0, 0, 0, -7
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scenes\Objects\Level Transitions\LevelEntrance.cs", "C#", -7, 0, 0, 0, 0, 0, -2, -2, -11
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Audio\AudioManager.cs", "C#", 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Environment\EnvironmentManager.cs", "C#", -4, 0, 0, 0, 0, 0, -10, -5, -19
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\Game.cs", "C#", 2, 0, 0, 0, 0, 0, 5, -1, 6
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\Level\Root.cs", "C#", 1, 0, 0, 0, 0, 0, 3, 0, 4
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Game\Saving\SaverLoader.cs", "C#", 0, 0, 0, 0, 0, 0, 8, 1, 9
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Interaction\InteractableBed.cs", "C#", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Interaction\InventoryObjects\InventoryObject.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Interaction\InventoryObjects\InventoryObjectManager.cs", "C#", 0, 0, 0, 0, 0, 0, -1, -1, -2
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Interaction\PlayerInteractor.cs", "C#", 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Player\Player.cs", "C#", 30, 0, 0, 0, 0, 0, 41, 7, 78
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Player\PlayerEnergy.cs", "C#", -1, 0, 0, 0, 0, 0, 1, 0, 0
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Player\PlayerHunger.cs", "C#", -1, 0, 0, 0, 0, 0, 1, 0, 0
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Player\PlayerStatus.cs", "C#", -1, 0, 0, 0, 0, 0, 3, -1, 1
"c:\Users\Lenovo\Local Game Development\saving-and-loading\Scripts\Player\TerrainChecker.cs", "C#", 40, 0, 0, 0, 0, 0, 5, 15, 60
